Session,Sample,Sample_Id,Label,Label_Id,PlayCount,Time
6,2047,static/images/2047_3.jpg,poipmodi,static/audios/ibm_synth/poipmodi_0.wav,1,3.422
6,2064,static/images/2064_0.jpg,edbinker,static/audios/ibm_synth/edbinker_3.wav,5,8.166
6,2005,static/images/2005_4.jpg,gassprockser,static/audios/ibm_synth/gassprockser_1.wav,1,2.275
6,2038,static/images/2038_9.jpg,blicketfoom,static/audios/ibm_synth/blicketfoom_0.wav,2,4.517
6,2037,static/images/2037_2.jpg,tulverdax,static/audios/ibm_synth/tulverdax_0.wav,1,2.088
6,2006,static/images/2006_0.jpg,jickmanu,static/audios/google_synth/jickmanu_0.wav,2,5.01
6,2013,static/images/2013_7.jpg,foteratch,static/audios/ibm_synth/foteratch_2.wav,1,2.698
6,2005,static/images/2005_2.jpg,gassprockser,static/audios/google_synth/gassprockser_3.wav,1,1.926
6,2010,static/images/2010_0.jpg,negacvack,static/audios/ibm_synth/negacvack_2.wav,1,2.879
6,2037,static/images/2037_0.jpg,tulverdax,static/audios/ibm_synth/tulverdax_2.wav,1,2.037
6,2047,static/images/2047_5.jpg,poipmodi,static/audios/google_synth/poipmodi_3.wav,1,2.274
6,2038,static/images/2038_5.jpg,blicketfoom,static/audios/ibm_synth/blicketfoom_3.wav,1,1.842
6,2064,static/images/2064_1.jpg,edbinker,static/audios/ibm_synth/edbinker_0.wav,1,2.457
6,2021,static/images/2021_5.jpg,tannindunch,static/audios/google_synth/tannindunch_3.wav,1,1.509
6,2028,static/images/2028_8.jpg,juffmodi,static/audios/google_synth/juffmodi_5.wav,1,1.409
5,2022,static/images/2022_6.jpg,fimppizer,static/audios/ibm_synth/fimppizer_0.wav,4,16.051
5,2045,static/images/2045_6.jpg,heacheder,static/audios/ibm_synth/heacheder_3.wav,6,13.329
5,2016,static/images/2016_6.jpg,wuptreda,static/audios/ibm_synth/wuptreda_2.wav,12,27.027
5,2040,static/images/2040_4.jpg,teverpusp,static/audios/microsoft_synth/teverpusp_1.wav,7,10.481
5,2042,static/images/2042_2.jpg,tanzerposk,static/audios/microsoft_synth/tanzerposk_1.wav,5,12.128
5,2036,static/images/2036_5.jpg,pentantstri,static/audios/ibm_synth/pentantstri_1.wav,7,11.459
5,2033,static/images/2033_4.jpg,gloopyosp,static/audios/ibm_synth/gloopyosp_3.wav,10,17.315
5,2044,static/images/2044_2.jpg,chattenjang,static/audios/google_synth/chattenjang_2.wav,4,10.929
5,2015,static/images/2015_7.jpg,agtifeen,static/audios/google_synth/agtifeen_5.wav,4,12.53
5,2062,static/images/2062_6.jpg,pizerpru,static/audios/google_synth/pizerpru_3.wav,4,8.453
5,2016,static/images/2016_5.jpg,wuptreda,static/audios/microsoft_synth/wuptreda_1.wav,2,3.677
5,2015,static/images/2015_4.jpg,agtifeen,static/audios/google_synth/agtifeen_0.wav,1,3.388
5,2022,static/images/2022_3.jpg,fimppizer,static/audios/ibm_synth/fimppizer_2.wav,1,5.023
5,2044,static/images/2044_6.jpg,chattenjang,static/audios/google_synth/chattenjang_5.wav,2,7.985
5,2062,static/images/2062_9.jpg,pizerpru,static/audios/google_synth/pizerpru_0.wav,6,16.76
5,2045,static/images/2045_1.jpg,heacheder,static/audios/microsoft_synth/heacheder_1.wav,1,1.748
5,2042,static/images/2042_7.jpg,tanzerposk,static/audios/google_synth/tanzerposk_0.wav,3,6.049
5,2033,static/images/2033_9.jpg,gloopyosp,static/audios/google_synth/gloopyosp_0.wav,3,4.887
5,2040,static/images/2040_1.jpg,teverpusp,static/audios/ibm_synth/teverpusp_3.wav,4,6.918
5,2036,static/images/2036_7.jpg,pentantstri,static/audios/google_synth/pentantstri_1.wav,2,3.835
