Session,Test_Phase,Sample,Sample_Id,Label,Label_Id,Response,Response_Id
0,a,2048,static/images/2048_2.jpg,ciopjuff,static/audios/google_synth/ciopjuff_0.wav,noshillop,static/audios/ibm_synth/noshillop_2.wav
0,a,2030,static/images/2030_4.jpg,zosipeb,static/audios/google_synth/zosipeb_3.wav,ratchipis,static/audios/google_synth/ratchipis_2.wav
1,i,roglarkak,static/audios/google_synth/roglarkak_2.wav,2009,static/images/2009_7.jpg,2009,static/images/2009_7.jpg
1,i,leheacham,static/audios/google_synth/leheacham_5.wav,2035,static/images/2035_2.jpg,2034,static/images/2034_5.jpg
1,i,wisorel,static/audios/ibm_synth/wisorel_0.wav,2032,static/images/2032_8.jpg,2032,static/images/2032_8.jpg
1,i,janggasser,static/audios/microsoft_synth/janggasser_0.wav,2007,static/images/2007_9.jpg,2007,static/images/2007_9.jpg
1,i,judpegree,static/audios/google_synth/judpegree_2.wav,2050,static/images/2050_4.jpg,2050,static/images/2050_4.jpg
1,i,pentzebants,static/audios/google_synth/pentzebants_4.wav,2034,static/images/2034_0.jpg,2034,static/images/2034_0.jpg
1,i,ipisdoff,static/audios/google_synth/ipisdoff_0.wav,2058,static/images/2058_6.jpg,2058,static/images/2058_6.jpg
1,i,aneddite,static/audios/google_synth/aneddite_1.wav,2046,static/images/2046_7.jpg,2046,static/images/2046_7.jpg
1,i,negahux,static/audios/google_synth/negahux_4.wav,2063,static/images/2063_4.jpg,2063,static/images/2063_4.jpg
1,i,wilpakar,static/audios/ibm_synth/wilpakar_3.wav,2057,static/images/2057_1.jpg,2057,static/images/2057_1.jpg
1,a,2057,static/images/2057_8.jpg,wilpakar,static/audios/google_synth/wilpakar_0.wav,wilpakar,static/audios/google_synth/wilpakar_0.wav
1,a,2035,static/images/2035_8.jpg,leheacham,static/audios/google_synth/leheacham_1.wav,leheacham,static/audios/google_synth/leheacham_1.wav
1,a,2046,static/images/2046_3.jpg,aneddite,static/audios/ibm_synth/aneddite_3.wav,aneddite,static/audios/ibm_synth/aneddite_3.wav
1,a,2032,static/images/2032_0.jpg,wisorel,static/audios/google_synth/wisorel_3.wav,wisorel,static/audios/google_synth/wisorel_3.wav
1,a,2063,static/images/2063_1.jpg,negahux,static/audios/google_synth/negahux_3.wav,janggasser,static/audios/google_synth/janggasser_5.wav
1,a,2058,static/images/2058_7.jpg,ipisdoff,static/audios/ibm_synth/ipisdoff_1.wav,ipisdoff,static/audios/ibm_synth/ipisdoff_1.wav
1,a,2009,static/images/2009_3.jpg,roglarkak,static/audios/ibm_synth/roglarkak_0.wav,roglarkak,static/audios/ibm_synth/roglarkak_0.wav
1,a,2050,static/images/2050_5.jpg,judpegree,static/audios/microsoft_synth/judpegree_1.wav,wilpakar,static/audios/ibm_synth/wilpakar_0.wav
